hid,number,description,type
POM,213,Double,First Year
POM,214,Double,First Year
POM,215,Double,First Year
POM,216,Double,First Year
POM,217,Double,First Year
POM,230,Single,Residential Staff
POM,227,Single,Upperclass
POM,228,Single,Upperclass
POM,229,Single,Upperclass
POM,231,Single,Upperclass
POM,232,Single,Upperclass
POM,233,Single,Upperclass
POM,234,Single,Upperclass
POM,235,Single,Upperclass
POM,306,Double,First Year
POM,301,Double,Upperclass
POM,302,Double,Upperclass
POM,303,Double,Upperclass
POM,304,Double,Upperclass
POM,305,Double,Upperclass
POM,320,Double,First Year
POM,321,Double,First Year
POM,322,Single,Upperclass
POM,307,Double,Upperclass
POM,308,Double,Upperclass
POM,317,Double,First Year
POM,318,Double,First Year
POM,319,Double,First Year
POM,310,Single,Residential Staff
POM,309,Single,Upperclass
POM,311,Single,Academic Success Coach
POM,314,Double,First Year
POM,315,Double,First Year
POM,316,Double,First Year
POM,311A,Single,Upperclass
POM,312,Double,Upperclass
POM,313,Double,Upperclass
POM,324,Single,Upperclass
POM,325,Single,Upperclass
POM,326,Single,Upperclass
POM,323,Double,Upperclass
POM,327,Single,Upperclass
POM,328,Single,Upperclass
POM,329,Single,Upperclass
POM,402,Single,Upperclass
POM,403,Single,Upperclass
POM,404,Single,Upperclass
POM,405,Single,Upperclass
POM,406,Single,Upperclass
POM,401,Double,Upperclass
POM,408,Double,Upperclass
POM,421,Double,Upperclass
POM,422,Single,Upperclass
POM,423,Single,Upperclass
POM,407,Double,Upperclass
POM,409,Double,Upperclass
POM,410,Single,Residential Staff
POM,411,Single,Upperclass
POM,418,Double,Upperclass
POM,419,Double,Upperclass
POM,420,Double,Upperclass
POM,412,Double,Upperclass
POM,413,Single,Upperclass
POM,414,Single,Upperclass
POM,415,Double,Upperclass
POM,416,Double,Upperclass
POM,417,Double,Upperclass
POM,426,Single,Residential Staff
POM,425,Single,Upperclass
POM,427,Single,Upperclass
POM,428,Single,Upperclass
POM,424,Single,Upperclass
POM,501,Single,Upperclass
POM,502,Single,Upperclass
POM,503,Single,Upperclass
POM,504,Single,Upperclass
POM,505,Single,Upperclass
SEV,27,Single,Residential Staff
SEV,33,Triple,Upperclass
SEV,29,Double,Upperclass
SEV,31,Double,Upperclass
SEV,34,Double,Upperclass
SEV,36,Double,Upperclass
SEV,38,Double,Upperclass
SEV,41,Double,Upperclass
SEV,42,Double,Upperclass
SEV,40,Double,Upperclass
SEV,103,Single,Residential Staff
SEV,101,Double,Upperclass
SEV,104,Double,Upperclass
SEV,116,Double,First Year
SEV,118,Double,First Year
SEV,112,Triple,First Year
SEV,114,Triple,First Year
SEV,115,Single,Upperclass
SEV,117,Single,Upperclass
SEV,124,Single,Residential Staff
SEV,119,Single,Upperclass
SEV,120,Single,Upperclass
SEV,121,Single,Upperclass
SEV,122,Single,Upperclass
SEV,127,Triple,First Year
SEV,123,Single,Upperclass
SEV,125,Single,Upperclass
SEV,126,Single,Upperclass
SEV,128,Single,Upperclass
SEV,135,Double,Upperclass
SEV,129,Single,Upperclass
SEV,130,Single,Upperclass
SEV,131,Single,Upperclass
SEV,133,Single,Upperclass
SEV,134,Single,Upperclass
SEV,136,Single,Upperclass
SEV,132,Suite for 2 with Bath,Upperclass
SEV,137,Single,Upperclass
SEV,138,Single,Upperclass
SEV,139,Single,Upperclass
SEV,140,Single,Upperclass
SEV,141,Single,Upperclass
SEV,142,Single,Upperclass
SEV,207,Single,Upperclass
SEV,201,Double,Upperclass
SEV,202,Double,Upperclass
SEV,208,Single,Upperclass
SEV,209,Double,Upperclass
SEV,210,Double,Upperclass
SEV,211,Double,Upperclass
SEV,233,Single,Upperclass
SEV,229,Single,Upperclass
SEV,230,Single,Upperclass
SEV,231,Single,Upperclass
SEV,232,Suite for 2 with Bath,Upperclass
SEV,216,Double,First Year
SEV,212,Triple,First Year
SEV,214,Triple,First Year
SEV,215,Single,Upperclass
SEV,217,Single,Upperclass
SEV,213,Double,Upperclass
SEV,219,Single,Upperclass
SEV,220,Single,Upperclass
SEV,221,Single,Upperclass
SEV,222,Single,Upperclass
SEV,218,Double,Upperclass
SEV,224,Single,Residential Staff
SEV,225,Single,Upperclass
SEV,226,Single,Upperclass
SEV,228,Single,Upperclass
SEV,223,Single,Upperclass
SEV,227,Double,Academic Success Coach
SEV,238,Double,First Year
SEV,240,Double,First Year
SEV,234,Quad,First Year
SEV,242,Single,Upperclass
SEV,241,Double,Upperclass
SEV,310,Double,Upperclass
SEV,311,Double,Upperclass
SEV,313,Triple,First Year
SEV,316,Single,Upperclass
SEV,318,Single,Upperclass
SEV,312,Triple,Upperclass
SEV,314,Triple,Upperclass
SEV,324,Double,First Year
SEV,320,Triple,First Year
SEV,331,Single,Residential Staff
SEV,329,Single,Upperclass
SEV,332,Suite for 2 with Bath,Upperclass
SEV,327,Double,Upperclass
SEV,1,Single,Upperclass
SEV,3,Single,Upperclass
SEV,5,Single,Upperclass
SEV,6,Single,Upperclass
SEV,7,Single,Upperclass
SEV,8,Triple,Upperclass
SEV,9,Double,Upperclass
SEV,10,Double,Upperclass
SEV,APT,4-person Apartment,Upperclass
SHA,1,Single,Upperclass
SHA,2,Single,Upperclass
SHA,3,Single,Upperclass
SHA,4,Single,Upperclass
SHA,8,Single,Upperclass
SHA,9,Single,Upperclass
SHA,001G,Single,Upperclass
SHA,003G,Single,Upperclass
SHA,004G,Double,Upperclass
SHA,005G,Double,Upperclass
SHA,006G,Double,Upperclass
SHA,002G,Double,Upperclass
SHA,5,Single,Upperclass
SHA,6,Single,Upperclass
SHA,7,Single,Upperclass
SHA,103,Double,First Year
SHA,105,Double,First Year
SHA,107,Double,First Year
SHA,106,Double,First Year
SHA,101,Single,Residential Staff
SHA,109,Double,First Year
SHA,110,Double,First Year
SHA,111,Double,First Year
SHA,112,Double,First Year
SHA,113,Double,First Year
SHA,115,Double,First Year
SHA,202,Single,Upperclass
SHA,200,Triple,Upperclass
SHA,201,Triple,Upperclass
SHA,204,Single,Residential Staff
SHA,209,Single,Upperclass
SHA,205,Single,Upperclass
SHA,206,Double,Upperclass
SHA,207,Double,Upperclass
SHA,208,Double,Upperclass
SHA,215,Double,First Year
SHA,212,Single,Upperclass
SHA,213,Single,Upperclass
SHA,214,Single,Upperclass
SHA,210,Double,Upperclass
SHA,211,Double,Upperclass
SHA,219,Double,First Year
SHA,221,Double,First Year
SHA,218,Single,Upperclass
SHA,217,Double,Upperclass
SHA,220,Double,Upperclass
SHA,223,Double,Upperclass
SHA,224,Single,Upperclass
SHA,225,Single,Upperclass
SHA,227,Single,Upperclass
SHA,226,Single,Upperclass
SHA,228,Single,Upperclass
SHA,229,Single,Upperclass
SHA,230,Single,Upperclass
SHA,231,Single,Upperclass
SHA,233,Single,Upperclass
SHA,300,Single,Upperclass
SHA,301,Single,Upperclass
SHA,302,Single,Upperclass
SHA,303,Single,Upperclass
SHA,304,Single,Upperclass
SHA,309,Double,First Year
SHA,306,Single,Residential Staff
SHA,307,Single,Academic Success Coach
SHA,310,Single,Upperclass
SHA,311,Single,Upperclass
SHA,308,Double,Upperclass
SHA,314,Double,First Year
SHA,315,Single,Upperclass
SHA,317,Single,Upperclass
SHA,312,Single,Upperclass
SHA,316,Double,Upperclass
SHA,313,Double,Upperclass
SHA,319,Double,First Year
SHA,320,Double,First Year
SHA,321,Double,First Year
SHA,323,Double,First Year
SHA,322,Single,Upperclass
SHA,325,Double,Upperclass
SHA,400,Single,Residential Staff
SHA,401,Single,Upperclass
SHA,402,Single,Upperclass
SHA,403,Single,Upperclass
SHA,404,Single,Upperclass
SHA,406,Single,Residential Staff
SHA,407,Single,Upperclass
SHA,408,Double,Upperclass
SHA,409,Double,Upperclass
SHA,410,Single,Upperclass
SHA,411,Single,Upperclass
SHA,414,Double,Upperclass
SHA,415,Double,Upperclass
SHA,416,Single,Upperclass
SHA,417,Double,Upperclass
SHA,412,Double,Upperclass
SHA,413,Double,Upperclass
SHA,419,Single,Upperclass
SHA,420,Single,Upperclass
SHA,421,Single,Upperclass
SHA,422,Single,Upperclass
SHA,423,Single,Upperclass
SHA,425,Single,Upperclass
SHA,500,Single,Upperclass
SHA,501,Single,Upperclass
SHA,502,Single,Upperclass
SHA,503,Single,Upperclass
SHA,504,Single,Upperclass
SHA,RD APT,4-person Apartment,Upperclass
STO,2,Triple,First Year
STO,3,Triple,First Year
STO,4,Triple,First Year
STO,5,Triple,First Year
STO,8,Triple,First Year
STO,9,Single,Residential Staff
STO,105,Single,Upperclass
STO,108,Single,Upperclass
STO,101,Triple,First Year
STO,102,Triple,First Year
STO,106,Single,Upperclass
STO,109,Single,Upperclass
STO,112,Double,First Year
STO,110,Single,Upperclass
STO,111,Single,Upperclass
STO,114,Double,First Year
STO,115,Single,Upperclass
STO,118,Triple,Upperclass
STO,113,Double,Upperclass
STO,207,Double,First Year
STO,201,Triple,First Year
STO,202,Triple,First Year
STO,206,Single,Upperclass
STO,208,Single,Upperclass
STO,215,Double,First Year
STO,209,Single,Upperclass
STO,211,Single,Upperclass
STO,212,Single,Upperclass
STO,213,Single,Academic Success Coach
STO,214,Single,Residential Staff
STO,218,Double,First Year
STO,219,Double,First Year
STO,220,Single,Upperclass
STO,221,Single,Upperclass
STO,223,Single,Upperclass
STO,222,Double,Upperclass
STO,228,Single,Upperclass
STO,224,Single,Upperclass
STO,225,Single,Upperclass
STO,227,Single,Upperclass
STO,230,Single,Upperclass
STO,226,Double,Upperclass
STO,305,Single,Residential Staff
STO,302,Single,Upperclass
STO,303,Single,Upperclass
STO,308,Double,Upperclass
STO,309,Double,Upperclass
STO,315,Single,Residential Staff
STO,314,Single,Upperclass
STO,310,Single,Upperclass
STO,311,Double,Upperclass
STO,313,Double,Upperclass
STO,316,Double,Upperclass
STO,319,Single,Upperclass
STO,320,Single,Upperclass
STO,321,Single,Upperclass
STO,322,Single,Upperclass
STO,317,Single,Upperclass
STO,318,Single,Upperclass
STO,324,Single,Upperclass
STO,323,Single,Upperclass
STO,326,Single,Upperclass
STO,327,Single,Upperclass
STO,328,Single,Upperclass
STO,330,Double,Upperclass
STO,407,Single,Residential Staff
STO,402,Single,Upperclass
STO,405,Single,Upperclass
STO,406,Double,Upperclass
STO,404,Double,Upperclass
STO,408,Double,Upperclass
STO,413,Single,Upperclass
STO,414,Single,Upperclass
STO,415,Single,Upperclass
STO,410,Double,Upperclass
STO,411,Single,Upperclass
STO,412,Double,Upperclass
STO,231,Single,Upperclass
STO,232,Single,Upperclass
STO,233,Single,Upperclass
STO,234,Single,Upperclass
STO,236,Double,Upperclass
TCE,101,Single,Upperclass
TCE,106,Single,Upperclass
TCE,102,Double,Upperclass
TCE,103,Double,Upperclass
TCE,104,Double,Upperclass
TCE,110,Single,Residential Staff
TCE,107,Single,Upperclass
TCE,108,Single,Upperclass
TCE,109,Single,Upperclass
TCE,112,Single,Upperclass
TCE,111,Single,Upperclass
TCE,113,Single,Upperclass
TCE,114,Single,Upperclass
TCE,115,Single,Upperclass
TCE,116,Single,Upperclass
TCE,202,Double,First Year
TCE,203,Double,First Year
TCE,201,Single,Upperclass
TCE,204,Double,First Year
TCE,206,Double,Upperclass
TCE,208,Double,First Year
TCE,209,Single,Residential Staff
TCE,205,Single,Academic Success Coach
TCE,207,Single,Upperclass
TCE,210,Double,First Year
TCE,212,Double,First Year
TCE,214,Double,First Year
TCE,211,Single,Upperclass
TCE,213,Double,Upperclass
TCE,215,Double,Upperclass
TCE,216,Double,First Year
TCE,217,Double,First Year
TCE,218,Double,First Year
TCE,220,Triple,First Year
TCE,219,Double,Upperclass
TCE,221,Suite for 2 with Bath,Upperclass
TCE,223,Suite for 2 with Bath,Upperclass
TCE,302,Double,First Year
TCE,303,Double,First Year
TCE,304,Double,First Year
TCE,301,Single,Upperclass
TCE,305,Single,Upperclass
TCE,306,Double,Upperclass
TCE,307,Single,Upperclass
TCE,308,Double,Upperclass
TCE,309,Single,Upperclass
TCE,310,Double,Upperclass
TCE,311,Single,Upperclass
TCE,312,Double,Upperclass
TCE,313,Single,Upperclass
TCE,314,Double,Upperclass
TCE,316,Double,Upperclass
TCE,318,Double,First Year
TCE,317,Single,Residential Staff
TCE,315,Single,Upperclass
TCE,319,Double,Upperclass
TCE,322,Double,First Year
TCE,320,Triple,First Year
TCE,328,Single,Upperclass
TCE,326,Single,Upperclass
TCE,323,Suite for 2 with Bath,Upperclass
TCE,321,Suite for 2 with Bath,Upperclass
TCE,325,Suite for 3 with Bath,Upperclass
TCE,327,Suite for 3 with Bath,Upperclass
TCE,408,Double,Upperclass
TCE,410,Double,Upperclass
TCE,405,Single,Upperclass
TCE,407,Single,Upperclass
TCE,412,Double,Upperclass
TCE,414,Double,Upperclass
TCE,409,Single,Upperclass
TCE,411,Single,Upperclass
TCE,413,Single,Upperclass
TCE,415,Single,Upperclass
TCE,416,Double,Upperclass
TCE,418,Double,Upperclass
TCE,417,Single,Residential Staff
TCE,420,Triple,Upperclass
TCE,419,Double,Upperclass
TCE,422,Double,Upperclass
TCE,421,Suite for 2 with Bath,Upperclass
TCE,423,Suite for 2 with Bath,Upperclass
TCE,428,Single,Upperclass
TCE,425,Single,Upperclass
TCE,426,Single,Upperclass
TCE,427,Single,Upperclass
TCE,424,Double,Upperclass
TCE,523,Double,Upperclass
TCE,526,Single,Upperclass
TCE,528,Single,Upperclass
TCE,525,Triple,Upperclass
TCE,521,Double,Upperclass
TCE,403,Single,Upperclass
TCE,404,Double,Upperclass
TCE,406,Double,Upperclass
TCE,401,Single,Upperclass
TCE,402,Double,Upperclass
TCE,515,Single,Upperclass
TCE,524,Double,Upperclass
TCE,508,Triple,Upperclass
TCE,507,Double,Upperclass
TCE,519,Single,Residential Staff
TCE,517,Single,Upperclass
TCE,520,Double,Upperclass
TCE,522,Double,Upperclass
TCE,RD APT,4-person Apartment,Upperclass
TCW,626,Single,Upperclass
TCW,628,Single,Upperclass
TCW,630,Single,Upperclass
TCW,632,Single,Upperclass
TCW,625,Triple,Upperclass
TCW,631,Triple,Upperclass
TCW,118,Single,Residential Staff
TCW,142,Double,First Year
TCW,144,Double,First Year
TCW,140,Single,Upperclass
TCW,141,Single,Upperclass
TCW,143,Single,Upperclass
TCW,145,Double,First Year
TCW,148,Single,Residential Staff
TCW,146,Single,Upperclass
TCW,147,Single,Upperclass
TCW,149,Single,Upperclass
TCW,152,Double,First Year
TCW,153,Double,First Year
TCW,154,Double,First Year
TCW,150,Single,Upperclass
TCW,155,Single,Upperclass
TCW,238,Double,First Year
TCW,239,Double,First Year
TCW,236,Quad with Bath,First Year
TCW,234,Triple,First Year
TCW,237,Double,Upperclass
TCW,240,Double,First Year
TCW,242,Double,First Year
TCW,244,Double,First Year
TCW,241,Single,Residential Staff
TCW,243,Double,Upperclass
TCW,245,Double,Upperclass
TCW,246,Double,First Year
TCW,248,Double,First Year
TCW,250,Double,Upperclass
TCW,252,Double,Upperclass
TCW,247,Single,Upperclass
TCW,249,Single,Upperclass
TCW,251,Single,Upperclass
TCW,254,Double,First Year
TCW,253,Single,Upperclass
TCW,255,Single,Upperclass
TCW,257,Single,Upperclass
TCW,331,Suite for 3 with Bath,Upperclass
TCW,329,Suite for 3 with Bath,Upperclass
TCW,333,Double,First Year
TCW,334,Triple,First Year
TCW,330,Single,Upperclass
TCW,332,Single,Upperclass
TCW,335,Suite for 2 with Bath,Upperclass
TCW,336,Suite for 2 with Bath,Upperclass
TCW,338,Double,First Year
TCW,337,Double,First Year
TCW,339,Single,Residential Staff
TCW,341,Single,Academic Success Coach
TCW,340,Double,First Year
TCW,342,Double,Upperclass
TCW,343,Single,Upperclass
TCW,345,Single,Upperclass
TCW,344,Double,Upperclass
TCW,346,Double,Upperclass
TCW,347,Single,Upperclass
TCW,349,Single,Upperclass
TCW,348,Double,Upperclass
TCW,350,Double,Upperclass
TCW,351,Single,Upperclass
TCW,352,Double,First Year
TCW,353,Double,First Year
TCW,354,Double,First Year
TCW,355,Single,Upperclass
TCW,429,Single,Upperclass
TCW,430,Single,Upperclass
TCW,432,Single,Upperclass
TCW,431,Double,Upperclass
TCW,433,Double,Upperclass
TCW,439,Single,Residential Staff
TCW,441,Double,Upperclass
TCW,434,Triple,Upperclass
TCW,437,Double,Upperclass
TCW,438,Double,Upperclass
TCW,435,Suite for 2 with Bath,Upperclass
TCW,436,Suite for 2 with Bath,Upperclass
TCW,440,Double,Upperclass
TCW,442,Double,Upperclass
TCW,443,Single,Upperclass
TCW,445,Single,Upperclass
TCW,447,Single,Upperclass
TCW,449,Single,Upperclass
TCW,444,Double,Upperclass
TCW,446,Double,Upperclass
TCW,448,Double,Upperclass
TCW,450,Double,Upperclass
TCW,451,Single,Upperclass
TCW,455,Single,Upperclass
TCW,453,Single,Upperclass
TCW,452,Double,Upperclass
TCW,454,Double,Upperclass
TCW,530,Single,Upperclass
TCW,532,Single,Residential Staff
TCW,531,Triple,Upperclass
TCW,535,Double,Upperclass
TCW,536,Double,Upperclass
TCW,537,Single,Residential Staff
TCW,538,Double,Upperclass
TCW,539,Single,Upperclass
TCW,540,Double,Upperclass
TCW,541,Single,Upperclass
TCW,542,Double,Upperclass
TCW,553,Triple,Upperclass
TCW,555,Double,Upperclass
